Video ID,Aspect Ratio X,Aspect Ratio Y
5686887223001,320,300
5686887249001,320,300
5755134604001,320,300
5755136498001,320,300
5755507509001,320,300
5755563225001,380,300
5755559720001,320,300
5755566149001,320,300
5755547008001,640,480
5755552653001,320,300
5755559726001,320,300
5755619167001,960,540
5755794014001,320,240
5755796738001,320,240
5755794017001,320,300
5755796739001,320,300
5755802251001,320,300
5779461831001,960,540
5779504976001,960,540
5779507902001,320,300
5779516702001,406,300
5779862686001,320,300
5779862731001,960,540
5779883478001,960,540
5779885523001,704,528
5779891167001,960,540
5779884237001,240,136
5779903646001,720,480
5779894563001,720,480
5779910726001,720,480
5779919940001,640,480
5779914144001,640,480
5779915848001,360,240
5779916795001,360,240
5779936787001,640,480
5779943059001,640,480
5779937047001,640,480
5779938544001,640,480
5779948360001,320,240
5779938614001,320,240
5779949050001,320,240
5779948245001,960,540
5779959357001,576,540
5779958139001,576,540
5779951330001,576,540
5779959666001,576,540
5779957564001,576,540
5779953952001,576,540
5779959667001,576,540
5780391075001,320,300
5780394566001,320,300
5780401355001,320,300
5780400079001,320,300
5780390474001,320,300
5780399741001,320,300
5780400080001,320,300
5780431907001,342,300
5780431233001,960,540
5780433244001,320,300
5780446012001,960,540
5780446013001,960,540
5780450605001,320,300
5780464693001,320,300
5780476640001,960,540
5780495280001,320,300
5780495812001,320,300
5780495672001,320,300
5780497234001,320,300
5780507059001,320,300
5780495673001,320,300
5780497235001,320,300
5780527375001,320,300
5780519345001,320,300
5780523651001,320,300
5780523182001,320,300
5780523302001,960,540
5780534479001,960,540
5780537541001,960,540
5781419476001,320,300
5781442707001,320,300
5781433998001,320,300
5781433916001,320,300
5785036459001,480,360
5785047341001,480,360
5785052366001,960,540
5785045351001,960,540
5785037973001,480,360
5785052955001,480,360
5785038283001,960,540
5785047342001,480,360
5785036460001,480,360
5785047343001,480,360
5785052367001,480,360
5785046973001,480,360
5785043153001,480,360
5785037974001,480,360
5785038284001,480,360
5785047344001,480,360
5785048671001,480,360
5786081568001,960,540
5786084269001,960,540
5786080793001,960,540
5786081569001,960,540
5786153571001,640,480
5786160827001,304,540
5786150201001,304,540
5786155506001,304,540
5786153604001,720,540
5786150202001,960,540
5786157697001,320,240
5786159434001,304,540
5786153484001,480,360
5786155507001,304,540
5786159050001,960,540
5786685188001,960,540
5786682480001,960,540
5786736731001,960,540
5786733034001,480,360
5786732845001,480,360
5786724390001,480,360
5786730300001,960,540
5786776734001,640,480
5786770631001,960,540
5786765103001,304,540
5786765596001,640,480
5786774735001,304,540
5786777860001,360,480
5786775943001,960,540
5786774740001,568,320
5786776739001,960,540
5786764688001,960,540
5786777864001,960,540
5786770819001,960,540
5786774741001,960,540
5786846619001,960,540
5786842315001,960,540
5786842914001,960,540
5786841411001,960,540
5786844011001,960,540
5786842915001,960,540
5786847331001,960,540
5786832973001,576,320
5786847332001,960,540
5786842316001,960,540
5790959952001,854,480
5790959758001,854,480
5790958060001,854,480
5790961553001,480,360
5790956487001,854,480
5790959759001,854,480
5790959082001,854,480
5790959953001,480,360
5790959551001,960,540
5790959954001,854,480
5790960558001,854,480
5790957106001,960,540
5790959853001,960,540
5790959760001,854,480
5790960559001,960,540
5790961555001,854,480
5790959955001,854,480
5790959854001,960,540
5790958064001,854,480
5790958065001,854,480
5790959956001,854,480
5790959085001,960,540
5790957108001,960,540
5790961556001,854,480
5790961557001,960,540
5790959761001,854,480
5791032422001,854,480
5791033026001,960,540
5791040236001,854,480
5791031736001,480,360
5791040252001,480,360
5791033037001,960,540
5791039446001,480,360
5791040160001,640,480
5791040253001,640,480
5791040254001,958,540
5791039447001,960,540
5791038153001,480,360
5791031738001,640,480
5791038154001,360,480
5791039448001,960,540
5791040255001,960,540
5791039449001,960,540
5791031739001,960,540
5791033038001,960,540
5791036074001,640,480
5791031740001,960,540
5791040161001,960,540
5791038035001,958,540
5791038036001,480,360
5791032440001,960,540
5791040163001,960,540
5791033039001,640,480
5791032448001,640,480
5791040263001,960,540
5791036080001,960,540
5791032450001,960,540
5791040174001,960,540
5791038166001,960,540
5791040265001,960,540
5791038047001,480,360
5791038173001,960,540
5791040270001,960,540
5791041060001,960,540
5791040182001,960,540
5791036087001,960,540
5791039463001,960,540
5791043368001,960,540
5791033047001,960,540
5791049626001,854,480
5791043421001,854,480
5791043422001,854,480
5791045619001,960,540
5791060377001,958,540
5791063070001,960,540
5791060379001,960,540
5791061062001,958,540
5791061063001,640,480
5791055987001,360,480
5791063073001,960,540
5791053141001,640,480
5791062276001,960,540
5791061069001,960,540
5791060385001,640,480
5791063080001,960,540
5791057778001,960,540
5791060392001,960,540
5791063082001,958,540
5791062286001,958,540
5791062187001,960,540
5791061085001,960,540
5791066122001,480,360
5791063132001,480,360
5791066123001,640,480
5791062216001,640,480
5791062342001,958,540
5791059978001,958,540
5791059979001,958,540
5791069729001,958,540
5791062220001,640,480
5791063135001,480,360
5791062222001,480,360
5791062344001,480,360
5791061119001,960,540
5791069750001,960,540
5791072476001,960,540
5791066149001,640,480
5791068043001,640,480
5791070258001,960,540
5791060007001,960,540
5791075786001,960,540
5797498455001,480,360
5797514653001,720,540
5797511443001,720,540
5797513784001,960,540
5797511444001,960,540
5797514055001,960,540
5797506721001,960,540
5797508837001,640,480
5797506722001,960,540
5797513479001,960,540
5797511249001,960,540
5797508838001,960,540
5797511250001,480,360
5797506723001,960,540
5797514654001,960,540
5797506724001,640,480
5797513480001,960,540
5797513786001,960,540
5797513481001,480,360
5797511251001,960,540
5797514656001,960,540
5797513787001,960,540
5797514657001,960,540
5797513788001,480,360
5797513789001,480,360
5798103934001,960,540
5798105373001,320,300
5798096594001,320,300
5798103935001,320,300
5798103709001,320,300
5798105533001,960,540
5798110236001,320,300
5798105534001,320,300
5798102831001,320,300
5798103936001,960,540
5798103937001,320,300
5798103710001,320,300
5798107114001,320,300
5798105375001,320,300
5802642842001,960,540
5802664594001,960,540
5802703691001,960,540
5803071318001,960,540
5803073364001,320,300
5803071547001,320,300
5803099472001,960,540
5803108419001,320,300
5803102686001,320,300
5803101805001,320,300
5803101810001,320,300
5803099511001,320,300
5803108463001,320,300
5803112586001,320,300
5803116330001,960,540
5803116355001,960,540
5803114968001,320,300
5803114465001,320,300
5803116964001,320,300
5803114310001,320,300
5803125609001,320,300
5803121317001,320,300
5803176147001,960,540
5803177771001,320,300
5803217937001,320,300
5803211322001,320,300
5803217964001,320,300
5803219086001,960,540
5803224742001,960,540
5803228184001,320,300
5803505380001,960,540
5803520004001,960,540
5803538910001,960,540
5803540629001,960,540
5803565792001,960,540
5808101783001,322,300
5808090432001,322,300
5808100288001,322,300
5808099283001,322,300
5808095689001,322,300
5825432626001,960,540
5825433422001,960,540
5825440039001,960,540
5825442374001,960,540
5825438278001,960,540
5825442399001,960,540
5825445255001,960,540
5825864904001,960,540
5825866943001,960,540
5825874031001,960,540
5825871769001,960,540
5825872579001,960,540
5825877259001,960,540
5825865203001,960,540
5827433268001,960,540
5827436197001,960,540
5827437851001,960,540
5827438254001,960,540
5827438274001,960,540
5827437880001,960,540
5828822794001,960,540
5833643685001,960,540
5833640100001,960,540
5833643689001,960,540
5833646170001,960,540
5833644624001,960,540
5841569050001,960,540
5841570738001,960,540
5841565879001,960,540
5841571959001,960,540
5841568408001,960,540
5841567235001,960,540
5842800709001,960,540
5842802110001,960,540
5842806485001,960,540
5842806486001,960,540
5845961497001,960,540
5845960964001,960,540
5845958125001,960,540
5845960965001,960,540
5845961132001,960,540
5845961133001,960,540
5849526359001,960,540
5849562726001,960,540
5849595592001,960,540
5849591631001,960,540
5849876020001,960,540
5849874214001,960,540
5849873815001,960,540
5849867456001,960,540
5849865956001,960,540
5849878606001,960,540
5849873816001,960,540
5850376613001,960,540
5850397574001,960,540
5850397457001,960,540
5850383965001,960,540
5850383769001,960,540
5852489274001,960,540
5852497894001,960,540
5852498964001,960,540
5852498171001,960,540
5852495290001,960,540
5852495620001,960,540
5857792588001,960,540
5989654865001,960,540
5989656783001,960,540
5989658674001,960,540
5989654181001,960,540
5989658675001,960,540
5989650957001,960,540
5989656087001,960,540
5989658676001,960,540
5989650958001,960,540
5989656682001,960,540
5989656088001,960,540
5989655151001,960,540
5989706933001,960,540
5989704728001,960,540
5989707035001,960,540
5989700658001,960,540
5989707233001,960,540
5989694606001,960,540
5989702138001,960,540
5989704729001,960,540
5989707036001,960,540
5989707234001,960,540
5989737296001,960,540
5989738047001,960,540
5989736869001,960,540
5989737056001,960,540
